Timestamp,Pixel_Count,Max_Brightness,Image_Filename,Width,Height,Particle_Type,Probability
2026-09-22 04:04:38.000000,6,222,tracks_1790029178.png,60,60,tracks,89.0%
2026-09-22 02:21:42.000000,2,169,artefacts_1790023002.png,60,60,artefacts,99.6%
2026-09-22 02:19:11.000000,5,179,artefacts_1790022851.png,60,60,artefacts,33.6%
2026-09-22 07:51:11.058110,11,255,worms_1790042771.png,8,3,worms,21.6%
2026-09-22 11:36:23.000000,4,216,artefacts_1790056283.png,60,60,artefacts,10.2%
2026-09-22 04:17:26.000000,17,222,worms_1790029946.png,60,60,worms,24.4%
2026-09-22 07:45:45.743443,4,247,tracks_1790042445.png,2,3,tracks,89.1%
2026-09-22 04:47:50.000000,11,222,artefacts_1790031770.png,60,60,artefacts,75.6%
2026-09-22 04:30:28.000000,1,141,artefacts_1790030728.png,60,60,artefacts,31.4%
2026-09-22 02:17:38.000000,6,222,artefacts_1790022758.png,60,60,artefacts,29.7%
2026-09-22 06:39:45.000000,4,205,artefacts_1790038485.png,60,60,artefacts,31.0%
2026-09-22 01:26:53.000000,14,222,artefacts_1790019713.png,60,60,artefacts,100.0%
2026-09-22 12:44:38.754286,25,255,worms_1790060378.png,10,9,worms,93.9%
2026-09-22 08:30:09.000000,6,221,artefacts_1790045109.png,60,60,artefacts,31.6%
2026-09-22 03:21:50.000000,10,222,artefacts_1790026610.png,60,60,artefacts,49.1%
2026-09-22 07:47:15.238743,8,255,artefacts_1790042535.png,4,3,artefacts,40.4%
2026-09-22 06:44:25.000000,23,222,worms_1790038765.png,60,60,worms,68.8%
2026-09-22 13:46:17.817652,4,191,artefacts_1790064077.png,2,3,artefacts,99.8%
2026-09-22 14:05:16.312159,4,161,artefacts_1790065216.png,3,3,artefacts,95.8%
2026-09-22 14:22:34.109314,4,193,artefacts_1790066254.png,4,1,artefacts,67.9%
2026-09-22 14:28:49.862021,4,170,artefacts_1790066629.png,4,1,artefacts,99.5%
2026-09-22 14:42:49.258371,4,197,artefacts_1790067469.png,4,1,artefacts,85.9%
2026-09-22 14:46:26.766849,16,255,worms_1790067686.png,9,7,worms,68.4%
2026-09-22 15:10:19.938057,10,252,worms_1790069119.png,4,4,worms,22.2%
